2024-11-25 09:44:17.502 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.BasicTypeReference@4a1e3ac1
2024-11-25 09:44:17.502 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.BasicTypeReference@6e78fcf5
2024-11-25 09:44:17.527 [main] WARN  org.hibernate.orm.connections.pooling - HHH10001002: Using built-in connection pool (not intended for production use)
2024-11-25 09:44:17.545 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001005: Loaded JDBC driver class: com.mysql.cj.jdbc.Driver
2024-11-25 09:44:17.545 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001012: Connecting with JDBC URL [jdbc:mysql://localhost:3306/primerabasededatos?createDatabaseIfNotExist=true]
2024-11-25 09:44:17.545 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001001: Connection properties: {password=dam1, user=root}
2024-11-25 09:44:17.545 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001003: Autocommit mode: false
2024-11-25 09:44:17.548 [main] DEBUG org.hibernate.orm.connections.pooling - Initializing Connection pool with 1 Connections
2024-11-25 09:44:17.548 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001115: Connection pool size: 10 (min=1)
2024-11-25 09:44:17.792 [main] DEBUG org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator - Database ->
       name : MySQL
    version : 8.2.0
      major : 8
      minor : 2
2024-11-25 09:44:17.793 [main] DEBUG org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator - Driver ->
       name : MySQL Connector/J
    version : mysql-connector-j-8.0.31 (Revision: 0c86fc148d567b62266c2302bdad0f1e7a7e4eba)
      major : 8
      minor : 0
2024-11-25 09:44:17.793 [main] DEBUG org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator - JDBC version : 4.2
2024-11-25 09:44:17.831 [main] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2024-11-25 09:44:17.837 [main] DEBUG org.hibernate.engine.jdbc.env.spi.IdentifierHelperBuilder - JDBC driver metadata reported database stores quoted identifiers in more than one case
2024-11-25 09:44:17.837 [main] DEBUG org.hibernate.engine.jdbc.env.spi.IdentifierHelperBuilder - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [LOWER]; that will likely lead to problems in schema update and validation if using quoted identifiers
